# generated_at: 2025-09-25T20:14:11-03:00
# user: mati
# host: mati-VirtualBox
"command","nproc","cpu_avg","cpu_max","mem_avg","mem_max"
"code","36","0,56","3,00","1,44","5,00"
"firefox","4","6,00","6,00","7,00","7,00"
