# generated_at: 2025-09-25T00:01:52-03:00
# user: cristopher_linux
# host: cristopher-pc
"command","nproc","cpu_avg","cpu_max","mem_avg","mem_max"
"gnome-shell","6","4.80","4.80","4.10","4.10"
"firefox","6","8.10","8.10","9.70","9.70"
