# generated_at: 2025-09-25T22:43:06-03:00
# user: cristopher_linux
# host: cristopher-pc
"command","nproc","cpu_avg","cpu_max","mem_avg","mem_max"
"code","4","1.70","1.70","3.33","3.40"
"firefox","4","5.90","5.90","9.40","9.40"
