# generated_at: 2025-09-25T20:15:38-03:00
# user: mati
# host: mati-VirtualBox
"command","nproc","cpu_avg","cpu_max","mem_avg","mem_max"
"gnome-shell","9","7,00","7,00","5,00","5,00"
"firefox","9","5,00","5,00","7,00","7,00"
